sym;t;dir;entry;sl_pts;atr15;kind;label;primary;status;R;t_exit;exit_status
EURJPY;2026-09-23 00:00:00+00:00;1;180.234;131.81818181820404;131.81818181820404;lanc;nincs;True;closed;0.0;2026-09-23 05:20:00+00:00;BE/csúszó
GOLD;2026-09-23 12:45:00+00:00;-1;4315.38;401.0114942529072;401.0114942529072;lanc;nincs;True;closed;2.930004586103544;2026-09-23 13:43:00+00:00;BE/csúszó
GOLD;2026-09-23 14:30:00+00:00;-1;4303.7;1570.011494252958;1570.011494252958;lanc;nincs;True;closed;0.0;2026-09-23 15:27:00+00:00;BE/csúszó
UK100;2026-09-23 02:45:00+00:00;-1;10746.98;963.0833333332704;963.0833333332704;lanc;ford;True;closed;-0.9999999999999999;2026-09-23 05:41:00+00:00;SL
UK100;2026-09-23 04:15:00+00:00;-1;10749.63;685.0833333333867;685.0833333333867;lanc;ford;True;kihagyva;;;
UK100;2026-09-23 07:00:00+00:00;-1;10765.42;437.0833333332485;437.0833333332485;lanc;ford;True;closed;0.2602478551003123;2026-09-23 08:02:00+00:00;BE/csúszó
UK100;2026-09-23 08:45:00+00:00;-1;10752.56;2112.0833333334303;2112.0833333334303;lanc;ford;True;closed;1.99080686525927;2026-09-23 16:01:00+00:00;BE/csúszó
UK100;2026-09-23 11:30:00+00:00;-1;10721.09;1307.0833333333212;1307.0833333333212;lanc;ford;True;kihagyva;;;
UK100;2026-09-23 15:15:00+00:00;-1;10701.48;1074.0833333333285;1074.0833333333285;lanc;ford;True;kihagyva;;;
UK100;2026-09-23 16:30:00+00:00;-1;10714.98;3126.083333333372;3126.083333333372;lanc;ford;True;open;;;
UK100;2026-09-23 17:30:00+00:00;-1;10709.47;1808.083333333343;1808.083333333343;lanc;ford;True;kihagyva;;;
USDJPY;2026-09-23 00:45:00+00:00;-1;157.449;36.8721924619706;36.8721924619706;lanc;ford;True;closed;-1.0;2026-09-23 00:49:00+00:00;SL
USDJPY;2026-09-23 02:15:00+00:00;-1;157.484;26.872192461979694;26.872192461979694;lanc;ford;True;closed;-1.0;2026-09-23 02:18:00+00:00;SL
USDJPY;2026-09-23 05:00:00+00:00;-1;157.621;49.87219246197583;49.87219246197583;lanc;ford;True;closed;-0.0;2026-09-23 05:35:00+00:00;BE/csúszó
USDJPY;2026-09-23 06:00:00+00:00;-1;157.618;66.87219246197174;66.87219246197174;lanc;ford;True;closed;0.0057336629765240696;2026-09-23 07:37:00+00:00;BE/csúszó
USDJPY;2026-09-23 08:30:00+00:00;-1;157.671;17.872192461993563;17.872192461993563;lanc;ford;True;closed;-1.0;2026-09-23 08:33:00+00:00;SL
USDJPY;2026-09-23 09:45:00+00:00;-1;157.764;98.87219246198242;98.87219246198242;lanc;ford;True;closed;-0.0;2026-09-23 10:11:00+00:00;BE/csúszó
